title,Release_date,Running_time,Country,Box office,Directed by,Produced by,Written by,imdb,metascore,rotten_tomatoes,Awards
Academy Award Review of ,1937-05-19,41,United States,N/A,,,,7.1,N/A,,N/A
Snow White and the Seven Dwarfs,1937-12-21,83,United States,"$184,925,486","['David Hand(supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",Walt Disney,"['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']",7.6,95,,Nominated for 1 Oscar. Another 11 wins & 5 nominations.
Pinocchio,1940-02-07,88,United States,"$84,254,167","['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Walt Disney,,7.4,99,73%,Won 2 Oscars. Another 4 wins.
Fantasia,1940-11-13,126,United States,"$76,408,097","['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",,7.7,96,95%,8 wins & 1 nomination.
The Reluctant Dragon,1941-06-27,74,United States,"$872,000","['Directed by', 'Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']",Walt Disney,"['Written by', 'Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",6.9,N/A,67%,N/A
Dumbo,1941-10-23,64,United States,N/A,"['Directed by', 'Ben Sharpsteen', '(supervising director)', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",Walt Disney,,7.2,96,98%,Won 1 Oscar. Another 4 wins & 1 nomination.
Bambi,1942-08-09,70,United States,"$102,247,150","['Directed by', 'Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",Walt Disney,,7.3,91,90%,Nominated for 3 Oscars. Another 6 wins & 3 nominations.
Saludos Amigos,1942-08-24,42,United States,N/A,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",Walt Disney,,6.1,60,,Nominated for 3 Oscars. Another 1 win.
Victory Through Air Power,1943-07-17,65,United States,N/A,"['Directed by', 'Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']",Walt Disney,"['Written by', 'Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",6.5,N/A,53%,Nominated for 1 Oscar. Another 1 win.
The Three Caballeros,1944-12-21,71,United States,N/A,"['Norman Ferguson(supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young(sequence directors)']",Walt Disney,,6.4,85,82%,Nominated for 2 Oscars. Another 1 nomination.
Make Mine Music,1946-04-20,75,United States,N/A,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Joshua Meador', 'Robert Cormack']",Walt Disney,,6.3,60,70%,1 win & 1 nomination.
Song of the South,1946-11-12,94,United States,"$37,459,346","['Live action:', 'Harve Foster', 'Animation:', 'Wilfred Jackson']",Walt Disney,,7.1,54,50%,Won 1 Oscar. Another 1 win & 1 nomination.
Fun and Fancy Free,1947-09-27,73,United States,N/A,"['Jack Kinney(animation)', 'Bill Roberts(animation)', 'Hamilton Luske(animation)', 'William Morgan']",Walt Disney,,6.5,66,67%,N/A
Melody Time,1948-05-27,75,United States,N/A,"['Directed by', 'Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Wilfred Jackson']",Walt Disney,"['Written by', 'Winston Hibler', 'Harry Reeves', 'Ken Anderson', 'Erdman Penner', 'Homer Brightman', 'Ted Sears', 'Joe Rinaldi', 'Bill Cottrell', 'Jesse Marsh', 'Art Scott', 'Bob Moore', 'John Walbridge']",6.3,69,80%,1 win.
So Dear to My Heart,1948-11-29,82,United States,N/A,"['Directed by', 'Harold D. Schuster', 'Hamilton Luske']","['Produced by', 'Walt Disney', 'Perce Pearce']","['Written by', 'Ken Anderson', 'John Tucker Battle', 'Marc Davis', 'Bill Peet', 'Maurice Rapf', 'Ted Sears']",6.8,N/A,53%,N/A
